	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
182	YES		TRUE	ZeroN	slobber	slobber	undergoer	eng-30-00102974-v	let saliva drivel from the mouth	eng-30-05416678-n	saliva spilling from the mouth	MS
183	YES	ation	FALSE		conglobe	conglobation	event	eng-30-00144694-v	assume a globular shape	eng-30-07375214-n	an occurrence combining miscellaneous things into a (more or less) rounded mass	MS
184	YES		TRUE		ruin	ruin	event	eng-30-01564144-v	destroy completely; damage irreparably	eng-30-14562324-n	an irrecoverable state of devastation and destruction	MS
185	YES		TRUE	ZeroV	stream	stream	by-means-of	eng-30-02070679-v	to extend, wave or float outward, as if in the wind	eng-30-14005892-n	something that resembles a flowing stream in moving continuously	MS
186	YES	ance	FALSE		observe	observance	event	eng-30-02154508-v	discover or determine the existence, presence, or fact of	eng-30-05703429-n	the act of noticing or paying attention	MS
187	YES	ion	FALSE		evacuate	evacuation	event	eng-30-00073343-v	excrete or discharge from the body	eng-30-00395797-n	the act of removing the contents of something	MS
188	YES		TRUE		lease	lease	event	eng-30-02208537-v	engage for service under a term of contract	eng-30-15274863-n	the period of time during which a contract conveying property to a person is in effect	MS
189	YES		TRUE		curse	curse	undergoer	eng-30-00866314-v	heap obscenities upon	eng-30-07125096-n	profane or obscene expression usually of surprise or anger	MS
190	YES	er	FALSE		sneeze	sneezer	agent	eng-30-00004819-v	exhale spasmodically, as when an irritant entered one's nose	eng-30-10616578-n	a person who sneezes	MS
191	YES		TRUE	ZeroN	start	start	event	eng-30-02608347-v	have a beginning, in a temporal, spatial, or evaluative sense	eng-30-07325190-n	the beginning of anything	MS
192	YES		TRUE	ZeroV	toboggan	toboggan	vehicle	eng-30-01940034-v	move along on a luge or toboggan	eng-30-04443433-n	a long narrow sled without runners; boards curve upward in front	MS
193	YES		TRUE		encounter	encounter	uses	eng-30-02023107-v	come together	eng-30-00147187-n	a casual meeting with a person or thing	MS
194	YES	fy	FALSE		mummify	mummy	result	eng-30-02227127-v	remove the organs and dry out (a dead body) in order to preserve it	eng-30-05218630-n	a body embalmed and dried and wrapped for burial (as in ancient Egypt)	MS
195	YES		TRUE	Zero	bob	bob	result	eng-30-00039121-v	cut hair in the style of a bob	eng-30-05259109-n	a hair style for women and children; a short haircut all around	MS
196	YES	ment	FALSE		reenforce	reenforcement	event	eng-30-00222472-v	make stronger	eng-30-00971463-n	a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission	MS
197	YES	er	FALSE		slack	slacker	agent	eng-30-02464342-v	avoid responsibilities and work, be idle	eng-30-10608385-n	a person who shirks his work or duty (especially one who tries to evade military service in wartime)	MS
198	YES	ion	FALSE		crucify	crucifixion	event	eng-30-01803003-v	treat cruelly	eng-30-00422551-n	the infliction of extremely painful punishment or suffering	MS
199	YES	ion	FALSE		iterate	iteration	event	eng-30-00958334-v	to say, state, or perform again	eng-30-01019129-n	doing or saying again; a repeated performance	MS
200	YES	al	FALSE		suppose	supposal	event	eng-30-00631737-v	expect, believe, or suppose	eng-30-05779712-n	the cognitive process of supposing	MS
201	YES		TRUE	ZeroN	will	will	event	eng-30-00698398-v	determine by choice	eng-30-05983654-n	a fixed and persistent intent or purpose	MS
202	YES		TRUE	ZeroV	spray	spray	event	eng-30-01372682-v	scatter in a mass or jet of droplets	eng-30-15056541-n	water in small drops in the atmosphere; blown from waves or thrown up by a waterfall	MS
203	YES		TRUE	ZeroV	sequence	sequence	result	eng-30-00920125-v	determine the order of constituents in	eng-30-05044822-n	a following of one thing after another in time	MS
204	YES		TRUE	Zero	spit	spit	event	eng-30-00101956-v	expel or eject (saliva or phlegm or sputum) from the mouth	eng-30-00118552-n	the act of spitting (forcefully expelling saliva)	MS
205	YES	er	FALSE		spellbind	spellbinder	agent	eng-30-00020926-v	put into a trance	eng-30-10634990-n	an orator who can hold his listeners spellbound	MS
206	YES		TRUE		drink	drink	event	eng-30-01171183-v	consume alcohol	eng-30-00748515-n	the act of drinking alcoholic beverages to excess	MS
207	YES		TRUE	ZeroV	promenade	promenade	location	eng-30-01919226-v	take a leisurely walk	eng-30-04010205-n	a public area set aside as a pedestrian walk	MS
208	YES	er	FALSE		grate	grater	instrument	eng-30-01574077-v	reduce to small shreds or pulverize by rubbing against a rough or sharp perforated surface	eng-30-03454885-n	utensil with sharp perforations for shredding foods (as vegetables or cheese)	MS
209	YES	er	FALSE		slice	slicer	instrument	eng-30-01559055-v	make a clean cut through	eng-30-04237423-n	a machine for cutting; usually with a revolving blade	MS
210	YES		TRUE	ZeroV	flower	flower	result	eng-30-00294245-v	produce or yield flowers	eng-30-11669921-n	a plant cultivated for its blooms or blossoms	MS
211	YES	er	FALSE		putt	putter	agent	eng-30-01403540-v	strike (a golf ball) lightly, with a putter	eng-30-10496081-n	a golfer who is putting	MS
212	YES	ion	FALSE		digest	digestion	event	eng-30-00590924-v	arrange and integrate in the mind	eng-30-05753379-n	learning and coming to understand ideas and information	MS
213	YES		TRUE	ZeroN	pull	pull	event	eng-30-01609287-v	apply force so as to cause motion towards the source of the motion	eng-30-00114431-n	the act of pulling; applying force to move something toward or with you	MS
214	YES	er	FALSE		enforce	enforcer	agent	eng-30-02560164-v	ensure observance of laws and rules	eng-30-10161867-n	one whose job it is to execute unpleasant tasks for a superior	MS
215	YES	ation	FALSE		inflame	inflammation	event	eng-30-00063724-v	cause inflammation in	eng-30-14336539-n	a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat	MS
216	YES		TRUE	ZeroV	shower	shower	event	eng-30-02757651-v	rain abundantly	eng-30-11502497-n	a brief period of precipitation	MS
217	YES		TRUE	ZeroV	cavern	cavern	result	eng-30-01282888-v	hollow out as if making a cavern	eng-30-09239451-n	any large dark enclosed space	MS
218	YES		TRUE		suction	suction	event	eng-30-01854679-v	remove or draw away by the force of suction	eng-30-11517494-n	a force over an area produced by a pressure difference	MS
219	YES		TRUE	ZeroV	review	review	event	eng-30-00696189-v	look at again; examine again	eng-30-05747582-n	a new appraisal or evaluation	MS
220	YES		TRUE	ZeroN	rise	rise	event	eng-30-00018158-v	get up and out of bed	eng-30-00324384-n	the act of changing location in an upward direction	MS
221	YES		TRUE		answer	answer	result	eng-30-00636279-v	give the correct answer or solution to	eng-30-06743506-n	a statement that solves a problem or explains how to solve the problem	MS
222	YES		TRUE	ZeroV	letter	letter	undergoer	eng-30-01692443-v	mark letters on or mark with letters	eng-30-06828818-n	the conventional characters of the alphabet used to represent speech	MS
223	YES		TRUE	Zero	tilt	tilt	property	eng-30-02038357-v	to incline or bend from a vertical position	eng-30-05068080-n	the property possessed by a line or surface that departs from the vertical	MS
224	YES		TRUE		ferment	ferment	by-means-of	eng-30-00458471-v	go sour or spoil	eng-30-14738752-n	a substance capable of bringing about fermentation	MS
225	YES	ion	FALSE		exhaust	exhaustion	event	eng-30-00075421-v	wear out completely	eng-30-00356621-n	the act of exhausting something entirely	MS
226	YES		TRUE	ZeroV	budget	budget	result	eng-30-00724029-v	make a budget	eng-30-13421462-n	a summary of intended expenditures along with proposals for how to meet them	MS
227	YES		TRUE	ZeroV	number	number	state	eng-30-00946755-v	enumerate	eng-30-13582013-n	a concept of quantity involving zero and units	MS
228	YES		TRUE	ZeroV	certificate	certificate	uses	eng-30-02262139-v	present someone with a certificate	eng-30-06471345-n	a document attesting to the truth of certain stated facts	MS
229	YES	er	FALSE		occupy	occupier	agent	eng-30-01126360-v	march aggressively into another's territory by military force for the purposes of conquest and occupation	eng-30-10369955-n	a member of a military force who is residing in a conquered foreign country	MS
230	YES	ion	FALSE		misdirect	misdirection	by-means-of	eng-30-02000288-v	lead someone in the wrong direction or give someone wrong directions	eng-30-06787037-n	incorrect directions or instructions	MS
231	YES	er	FALSE		chronicle	chronicler	agent	eng-30-01001136-v	record in chronological order; make a historical record	eng-30-09921168-n	someone who writes chronicles	MS
232	YES		TRUE	ZeroV	promenade	promenade	event	eng-30-01919226-v	take a leisurely walk	eng-30-00284101-n	a leisurely walk (usually in some public place)	MS
233	YES		TRUE	ZeroN	retake	retake	event	eng-30-01003588-v	photograph again	eng-30-00908292-n	a shot or scene that is photographed again	MS
234	YES		TRUE	ZeroN	slit	slit	result	eng-30-01558883-v	cut a slit into	eng-30-04241940-n	a long narrow opening	MS
235	YES	er	FALSE		deal	dealer	agent	eng-30-02244956-v	do business; offer for sale as for one's livelihood	eng-30-10720453-n	someone who purchases and maintains an inventory of goods to be sold	MS
236	YES	er	FALSE		board	boarder	agent	eng-30-01177118-v	lodge and take meals (at)	eng-30-10269458-n	a tenant in someone's house	MS
237	YES	er	FALSE		sting	stinger	body-part	eng-30-01445407-v	deliver a sting to	eng-30-02465693-n	a sharp organ of offense or defense (as of a wasp or stingray or scorpion) often connected with a poison gland	MS
238	YES	ion	FALSE		legislate	legislation	event	eng-30-02466670-v	make laws, bills, etc. or bring into effect by legislation	eng-30-01125693-n	the act of making or enacting laws	MS
239	YES		TRUE	ZeroV	target	target	undergoer	eng-30-01150559-v	intend (something) to move towards a certain goal	eng-30-05981230-n	the goal intended to be attained (and which is believed to be attainable)	MS
240	YES	er	FALSE		prompt	prompter	agent	eng-30-00877848-v	assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned	eng-30-10482414-n	someone who assists a performer by providing the next words of a forgotten speech	MS
241	YES		TRUE	ZeroV	contact	contact	state	eng-30-01205696-v	be in direct physical contact with; make contact	eng-30-14419510-n	the state or condition of touching or of being in immediate proximity	MS
242	YES	ion	FALSE		differentiate	differentiation	event	eng-30-00119074-v	become distinct and acquire a different character	eng-30-05748285-n	a discrimination between things as different and distinct	MS
243	YES		TRUE	ZeroV	solder	solder	material	eng-30-01595260-v	join or fuse with solder	eng-30-14718822-n	an alloy (usually of lead and tin) used when melted to join two metal surfaces	MS
244	YES		TRUE	ZeroV	label	label	uses	eng-30-00971650-v	pronounce judgment on	eng-30-07202579-n	a brief description given for purposes of identification	MS
245	YES	or	FALSE		torment	tormentor	agent	eng-30-01802689-v	torment emotionally or mentally	eng-30-10716005-n	someone who torments	MS
246	YES		TRUE		vote	vote	by-means-of	eng-30-02461314-v	express one's preference for a candidate or for a measure or resolution; cast a vote	eng-30-08480662-n	a body of voters who have the same interests	MS
247	YES	ence	FALSE		effloresce	efflorescence	event	eng-30-00294522-v	come into or as if into flower	eng-30-13439570-n	the time and process of budding and unfolding of blossoms	MS
248	YES	ation	FALSE		reform	reformation	event	eng-30-00265386-v	make changes for improvement in order to remove abuse and injustices	eng-30-00095971-n	rescuing from error and returning to a rightful course	MS
249	YES	er	FALSE		garrote	garroter	agent	eng-30-01571744-v	strangle with an iron collar	eng-30-10121246-n	someone who kills by strangling	MS
250	YES	or	FALSE		promulgate	promulgator	agent	eng-30-00861560-v	put a law into effect by formal declaration	eng-30-10482587-n	(law) one who promulgates laws (announces a law as a way of putting it into execution)	MS
251	YES	er	FALSE		relieve	reliever	agent	eng-30-01815185-v	lessen the intensity of or calm	eng-30-10518349-n	a person who reduces the intensity (e.g., of fears) and calms and pacifies	MS
252	YES		TRUE	ZeroN	spank	spank	event	eng-30-01420928-v	give a spanking to; subject to a spanking	eng-30-00134472-n	a slap with the flat of the hand	MS
253	YES		TRUE	ZeroN	trip	trip	event	eng-30-01900408-v	miss a step and fall or nearly fall	eng-30-07317519-n	an accidental misstep threatening (or causing) a fall	MS
254	YES	ation	FALSE		stigmatise	stigmatisation	event	eng-30-00508645-v	mark with a stigma or stigmata	eng-30-01223488-n	the act of stigmatizing	MS
255	YES		TRUE	ZeroV	padlock	padlock	instrument	eng-30-01342012-v	fasten with a padlock	eng-30-03874599-n	a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut	MS
256	YES	ion	FALSE		tabulate	tabulation	event	eng-30-01745536-v	arrange or enter in tabular form	eng-30-00652659-n	the act of putting into tabular form	MS
257	YES		TRUE		e-mail	e-mail	by-means-of	eng-30-01032451-v	communicate electronically on the computer	eng-30-06279326-n	(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in	MS
258	YES		TRUE	ZeroV	view	view	event	eng-30-02150948-v	see or watch	eng-30-05933246-n	the visual percept of a region	MS
259	YES	er	FALSE		carouse	carouser	agent	eng-30-02493260-v	engage in boisterous, drunken merrymaking	eng-30-10769321-n	someone who enjoys riotous drinking	MS
260	YES	er	FALSE		groan	groaner	agent	eng-30-01045419-v	indicate pain, discomfort, or displeasure	eng-30-10147619-n	a person who groans	MS
261	YES		TRUE		convert	convert	undergoer	eng-30-00385385-v	cause to adopt a new or different faith	eng-30-09962414-n	a person who has been converted to another religious or political belief	MS
